"","Incident Date","State","City Or County","Address","Killed","Injured"
"322",2015-06-27,"Massachusetts","Taunton","Weir Street",1,3
"323",2015-06-27,"Michigan","Detroit","Stringham Court",0,4
"324",2015-06-24,"New York","New York (Manhattan)","2110 Madison Ave",0,4
"325",2015-06-22,"Pennsylvania","Philadelphia","700 block of East Hilton Street",0,7
"326",2015-06-21,"Pennsylvania","Pittsburgh (Wilkinsburg)","Rebecca and East Swissvale Avenue",0,4
"327",2015-06-21,"Kentucky","Lexington","726 Georgetown St",1,4
"328",2015-06-20,"Michigan","Detroit","Dexter and Webb",1,11
"329",2015-06-20,"North Carolina","Morven","N/A",0,4
"330",2015-06-20,"Pennsylvania","Philadelphia","4100 block of Ogden Street",0,11
"331",2015-06-19,"Rhode Island","Woonsocket","80 River Street",0,4
"332",2015-06-17,"South Carolina","Charleston","110 Calhoun Street",9,0
"333",2015-06-16,"Florida","Miami Gardens","600 block of Northwest 177th Street",0,4
"334",2015-06-15,"New York","Brooklyn","673 Flatbush Avenue",0,4
"335",2015-06-14,"Oklahoma","Tulsa","1800 block of North Kingston",0,4
"336",2015-06-14,"Missouri","Saint Louis","1400 block of North Market Street",0,4
"337",2015-06-14,"New Jersey","Camden","2800 block of Saunders Street",1,3
"338",2015-06-13,"Georgia","Fayetteville","600 block of Highway 279",1,4
"339",2015-06-13,"Ohio","Columbus","1623 E. Hudson Street",4,1
"340",2015-06-13,"Georgia","Milledgeville","451 North Flynn Street",1,3
"341",2015-06-13,"New York","Bronx","2409 Creston Avenue",0,5
"342",2015-06-13,"Oklahoma","Oklahoma City","500 block of Se 69th St",0,4
"343",2015-06-12,"Florida","Allapattah","24th Avenue and 36th Street",0,4
"344",2015-06-11,"Connecticut","Bridgeport","468 Trumbull Avenue",1,8
"345",2015-06-11,"Texas","Houston","3400 Block of Burkett",1,3
"346",2015-06-10,"California","Los Angeles","South Vermont Avenue and West 88th Street",1,3
"347",2015-06-09,"Missouri","Saint Louis","North Market Street and North Spring Avenue",1,3
"348",2015-06-07,"Montana","Deer Lodge","Boulder Creek Road",5,0
"349",2015-06-06,"New York","Buffalo","100 block of Warren Avenue",1,4
"350",2015-06-06,"Illinois","Chicago","100 block of North Lorel Avenue",0,5
"351",2015-06-05,"Iowa","Davenport","900 block of West 3rd St",0,5
"352",2015-06-05,"Louisiana","New Orleans","2100 Block of Governor Nicholls Street",1,3
"353",2015-06-03,"New York","Wyandanch","Davidson Street",3,1
