"Incident Date",State,"City Or County",Address,"Killed","Injured",Operations
"March 4, 2016",Ohio,Columbus,"900 E. 5th Ave.",1,3,N/A
"February 28, 2016",Michigan,Detroit,"8800 block of Livernois",0,5,N/A
"February 28, 2016",California,"Riverside (Jurupa Valley)","5500 block of Etiwanda Avenue",1,3,N/A
"February 27, 2016",Virginia,"Woodbridge (Lake Ridge)","13051 Lashmere Court",2,2,N/A
"February 26, 2016",Washington,Belfair,"300 block of Horseshoe Rd.",5,0,N/A
"February 25, 2016",Kansas,Hesston,"200 S Ridge Rd",4,14,N/A
"February 23, 2016",Arizona,Glendale,"4812 West Sunnyside Ave",5,0,N/A
"February 23, 2016",Florida,"Daytona Beach","1042 Sheridan Road",0,4,N/A
"February 21, 2016",Missouri,Hazelwood,"Interstate Highway 270 and North Lindbergh Boulevard",1,3,N/A
"February 21, 2016",Texas,Houston,"5100 block of Idaho Street",0,5,N/A
"February 20, 2016",Florida,Tampa,"2810 E. Bearss Ave",1,3,N/A
"February 20, 2016",Alabama,Bessemer,"200 block of Elm Street",1,3,N/A
"February 20, 2016",Florida,Orlando,"446 S Parramore Ave",0,4,N/A
"February 20, 2016",Mississippi,Iuka,"County Road 201",2,3,N/A
"February 20, 2016",Michigan,Kalamazoo,"5581 Cracker Barrel Blvd",6,2,N/A
"February 19, 2016",California,Vallejo,"509 Porter Street",1,3,N/A
"February 14, 2016",Texas,Houston,"8449 Gulf Freeway",1,3,N/A
"February 14, 2016",Alabama,"Eutaw (Union)","Earnest Friday Road",0,5,N/A
"February 13, 2016",Louisiana,Marrero,"5425 Lapalco Boulevard",0,4,N/A
"February 7, 2016",Mississippi,"Pass Christian","Davis Avenue",2,4,N/A
"February 7, 2016",Florida,Orlando,"7432 Universal Blvd",2,10,N/A
"February 7, 2016","New York",Rochester,"547 State street",1,7,N/A
"February 7, 2016",Illinois,"Chicago (Englewood)","6500 block of South Green Street",0,4,N/A
"February 6, 2016",Florida,Tampa,"8123 N Nebraska Ave",1,7,N/A
"February 6, 2016",California,"Los Angeles","12800 block of Cook Street",1,3,N/A
"February 6, 2016",Florida,Apopka,"10th Street",0,4,N/A
"February 3, 2016","District of Columbia",Washington,"1500 block of Butler St. SE",0,4,N/A
"January 30, 2016",Colorado,Denver,"4655 Humboldt St",1,3,N/A
"January 30, 2016",Arizona,Glendale,"67th and Missouri Avenue",3,5,N/A
"January 27, 2016",Virginia,Chesapeake,"1401 N. George Washington Hwy",6,0,N/A
"January 26, 2016",Washington,Seattle,"Airport Way S. and S. Atlantic St.",2,3,N/A
"January 25, 2016",California,Perris,"140 S. D Street",1,4,N/A
"January 23, 2016",California,"Los Angeles","8105 Avalon Blvd",2,2,N/A
"January 17, 2016",Virginia,"Ware Neck","Ditchley Road and Gill Lane",1,3,N/A
"January 11, 2016",Delaware,Wilmington,"900 block of Brown Street",1,4,N/A
"January 8, 2016",Illinois,Chicago,"1500 block of South Kedzie",1,4,N/A
"January 7, 2016",Tennessee,Memphis,"3800 block of Kerwood Avenue",1,3,N/A
"January 6, 2016",Florida,Lakeland,"2312 East Magnolia Street",3,1,N/A
